user_id,nama_lengkap,email,kota,account_tier,signup_timestamp
USR-0001,Siti Santoso,user_0001@nusantaratech.io,Medan,Platinum,2025-03-26 16:38:00
USR-0002,Andi Hidayat,user_0002@nusantaratech.io,Bandung,Standard,2025-04-02 14:52:00
USR-0003,Rini Wijaya,user_0003@nusantaratech.io,Jakarta,Standard,2025-09-12 01:18:00
USR-0004,Siti Lestari,user_0004@nusantaratech.io,Jakarta,Platinum,2025-06-29 23:38:00
USR-0005,Mega Siregar,user_0005@nusantaratech.io,Makassar,Gold,2025-03-18 13:48:00
USR-0006,Budi Santoso,user_0006@nusantaratech.io,Semarang,Platinum,2025-02-08 02:46:00
USR-0007,Siti Hidayat,user_0007@nusantaratech.io,Yogyakarta,Silver,2025-04-06 08:57:00
USR-0008,Rini Santoso,user_0008@nusantaratech.io,Medan,Platinum,2025-12-29 02:30:00
USR-0009,Agus Hidayat,user_0009@nusantaratech.io,Semarang,Silver,2025-03-02 18:18:00
USR-0010,Agus Siregar,user_0010@nusantaratech.io,Medan,Silver,2025-05-02 16:03:00
USR-0011,Rini Utami,user_0011@nusantaratech.io,Makassar,Silver,2025-05-13 20:55:00
USR-0012,Mega Prabowo,user_0012@nusantaratech.io,Makassar,Platinum,2025-07-13 04:07:00
USR-0013,Budi Wijaya,user_0013@nusantaratech.io,Semarang,Gold,2025-01-29 12:50:00
USR-0014,Eko Kusuma,user_0014@nusantaratech.io,Makassar,Platinum,2025-08-17 17:25:00
USR-0015,Andi Wijaya,user_0015@nusantaratech.io,Surabaya,Standard,2025-02-15 00:20:00
USR-0016,Rini Kusuma,user_0016@nusantaratech.io,Jakarta,Gold,2025-08-12 12:39:00
USR-0017,Siti Lestari,user_0017@nusantaratech.io,Surabaya,Gold,2025-08-16 03:09:00
USR-0018,Eko Lestari,user_0018@nusantaratech.io,Bandung,Platinum,2025-05-19 05:21:00
USR-0019,Dewi Kusuma,user_0019@nusantaratech.io,Makassar,Platinum,2025-03-13 18:35:00
USR-0020,Mega Prabowo,user_0020@nusantaratech.io,Semarang,Silver,2025-06-13 17:56:00
USR-0021,Budi Utami,user_0021@nusantaratech.io,Jakarta,Standard,2025-05-29 17:36:00
USR-0022,Agus Lestari,user_0022@nusantaratech.io,Jakarta,Standard,2025-05-09 07:39:00
USR-0023,Eko Lestari,user_0023@nusantaratech.io,Bandung,Silver,2025-08-30 06:49:00
USR-0024,Agus Prabowo,user_0024@nusantaratech.io,Semarang,Gold,2025-10-20 23:49:00
USR-0025,Mega Kusuma,user_0025@nusantaratech.io,Medan,Gold,2025-06-29 17:15:00
USR-0026,Mega Hidayat,user_0026@nusantaratech.io,Yogyakarta,Platinum,2025-12-04 15:52:00
USR-0027,Siti Santoso,user_0027@nusantaratech.io,Jakarta,Standard,2025-12-14 08:26:00
USR-0028,Rini Prabowo,user_0028@nusantaratech.io,Medan,Gold,2025-04-19 20:10:00
USR-0029,Siti Hidayat,user_0029@nusantaratech.io,Yogyakarta,Platinum,2025-09-25 03:21:00
USR-0030,Siti Siregar,user_0030@nusantaratech.io,Semarang,Silver,2025-04-14 19:43:00
